id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status
1,Lamborghini,1992,141,18,,1525.21,P47864,2
2,Volkswagen,1991,363,67,36350,1300.98,P67035,1
3,Nissan,2003,460,32,,309.57,P09228,1
4,Kia,2007,221,37,,875.73,P34919,2
5,Lamborghini,2009,238,22,,924.34,P33680,2
6,GMC,2003,227,39,,1860.65,P00554,1
7,Volkswagen,1967,408,55,,2328.08,P65389,2
8,Nissan,2009,493,61,9713,1525.23,P75370,2
9,Ford,2002,284,68,,801.2,P65337,1
10,Mazda,2001,193,89,665670,1792.99,P54036,1
11,Audi,2003,360,22,,371.17,P87235,2
12,Toyota,1998,492,27,591 99,43.09,P57659,1
13,Honda,2006,100,51,,1175.55,P44085,1
14,Land Rover,1994,417,19,,1209.88,P43117,2
15,Lamborghini,2003,465,78,602257,,P83969,
16,Smart,2009,357,49,,797.1,P68211,1
17,Porsche,1999,287,17,,1692.77,P27226,1
18,Pontiac,1984,248,16,,1262.72,P41308,2
19,Nissan,2009,77,39,,1800.86,P06504,2
20,Volvo,2009,55,32,421-3305,495.96,P03791,1
21,Acura,1994,351,31,,2423.96,P00791,2
22,Lexus,1994,274,50,55590,922.79,P41942,2
23,Pontiac,2002,77,23,,,P03583,
24,Chevrolet,2011,82,63,70130,943.67,P92212,2
25,Chevrolet,2005,67,87,8201,1374.08,P47238,2
26,Mazda,1996,51,92,,2157.56,P56750,1
27,Subaru,1994,438,79,G0E,1867.29,P74933,2
28,Volvo,1995,57,85,,,P87907,
29,Ford,2000,488,88,,1531.61,P65569,2
30,Pontiac,1993,405,19,658810,,P88564,
31,Chevrolet,2011,436,61,,1099.76,P37375,1
32,Mercury,2001,466,75,,,P70698,
33,Pontiac,1986,478,30,5516,1417.96,P85051,1
34,Honda,2008,395,39,,533.1,P83726,2
35,Ford,2006,69,84,34-650,1903.24,P69694,1
36,Dodge,2003,57,79,,1674.94,P49114,2
37,GMC,2002,271,54,,1444.06,P30013,1
38,Toyota,2011,458,49,,1914.19,P16559,2
39,Bentley,2012,437,65,,2081.22,P21146,1
40,Acura,2007,209,67,,43.85,P60650,2
41,Mercedes-Benz,1983,154,26,2902,1626.57,P09018,2
42,Dodge,2003,389,62,68710-000,215.26,P36756,2
43,Dodge,2001,196,90,,373.55,P21365,1
44,Porsche,1992,364,43,4325,2036.5,P27183,1
45,Ford,2007,113,23,,1405.21,P93900,1
46,Lexus,2012,63,28,36780,100.41,P65830,1
47,BMW,2003,312,79,,1230.9,P11397,2
48,Volkswagen,1986,397,36,,2462.21,P06815,2
49,Chevrolet,2001,182,19,8300,750.12,P12102,2
50,Mercury,1967,368,26,129 07,,P23400,
51,Audi,2001,144,55,99871,2374.53,P00993,2
52,Mercedes-Benz,2011,277,42,,1222.34,P84944,1
53,Nissan,2005,442,53,,1827.34,P73825,1
54,Dodge,2009,316,68,8736,460.68,P25703,2
55,Volkswagen,2000,299,28,,565.02,P13259,2
56,Nissan,1993,107,70,39180,1006.63,P52049,2
57,Mazda,1985,489,53,,139.72,P42730,1
58,Acura,2003,499,21,681 37,2042.5,P03803,1
59,Chrysler,2009,229,62,6513,2088.8,P53719,2
60,Nissan,1996,449,30,,934.06,P50951,2
61,Toyota,1994,50,21,27944,967.17,P44074,2
62,GMC,2008,386,54,,971.13,P14206,1
63,Lotus,2007,276,86,V9L,1580.23,P47204,1
64,Chevrolet,1996,254,39,,761.21,P74319,2
65,Toyota,1978,99,66,,2036.66,P24956,2
66,BMW,2004,168,43,51000,878.96,P12686,2
67,Toyota,2001,91,89,,1683.5,P43280,2
68,Acura,1993,360,97,75235 CEDEX 05,490.09,P87602,2
69,Mitsubishi,1994,246,23,,,P90822,
70,Lexus,1997,342,73,140704,2037.14,P25962,2
71,Dodge,2008,377,48,,1494.56,P54120,2
72,Ford,1996,73,31,,805.63,P57233,1
73,Dodge,2002,452,21,28-425,1498.57,P62908,1
74,Volkswagen,2005,229,91,44315,575.88,P93356,1
75,Geo,1992,143,82,24-120,1257.32,P90503,1
76,Acura,2005,190,35,746 40,586.46,P91011,2
77,Plymouth,1999,469,57,88084 CEDEX 9,1172.21,P85894,2
78,Saturn,2007,288,24,612730,1120.4,P32649,1
79,Infiniti,1994,436,17,,790.25,P65700,2
80,Cadillac,2012,442,37,6118,1980.72,P50930,2
81,Honda,2005,218,17,,59.04,P44094,2
82,Cadillac,2004,259,31,47719,,P24239,
83,Plymouth,2000,,,,1823.68,P93924,2
84,BMW,2006,376,79,,521.77,P94263,1
85,Ferrari,2009,,,,1848.6,P86513,1
86,Lincoln,2003,352,75,,,P40444,
87,Audi,1989,,,,1642.33,P92430,1
88,Nissan,2004,453,31,,999.64,P74484,1
89,Mitsubishi,1990,250,100,,505.7,P37029,1
90,Oldsmobile,1992,371,48,,1989.37,P26271,1
91,Hyundai,2008,403,87,,943.8,P24113,2
92,Chevrolet,1994,420,20,,689.61,P91148,2
93,Toyota,2000,57,92,,2065.56,P22605,2
94,Cadillac,1999,190,31,47-420,1069.32,P51171,1
95,Bentley,2009,285,16,,1973.69,P06006,2
96,Jaguar,2006,410,53,92905,1360.43,P02943,1
97,Mitsubishi,1994,436,23,,559.74,P33021,1
98,Pontiac,1985,294,34,,1388.63,P73426,1
99,Scion,2008,244,72,,2102.5,P17527,1
100,Mercedes-Benz,2000,249,61,,1346.74,P09130,1
101,Kia,2012,224,82,,603.34,P60805,1
102,Buick,1995,135,69,29905,1311.33,P76506,1
103,Chrysler,1993,388,28,,265.26,P64422,1
104,Ford,2002,409,75,,1506.74,P32174,2
105,Hyundai,2006,250,97,,942.79,P36802,1
106,Subaru,2010,222,49,,1141.96,P94049,2
107,Pontiac,1985,208,43,,762.55,P53065,1
108,Mercury,1997,382,70,,,P19141,
109,BMW,2006,242,29,80243,2016.34,P88455,2
110,Ford,2013,108,35,,2201.03,P19169,1
111,Land Rover,2009,338,53,,412.66,P66068,1
112,Chevrolet,2007,491,42,60306,317.67,P51581,2
113,Volkswagen,1987,366,20,,169.39,P66950,2
114,Mazda,1992,164,52,7630,858.65,P89872,1
115,Audi,1994,64,16,152 07,1591.92,P02855,2
116,Lexus,1998,89,26,63210,862.52,P20645,1
117,Hyundai,2010,292,53,357247,89.47,P95208,2
118,Honda,2006,62,67,,175.92,P56056,2
119,GMC,1992,400,37,,2397.45,P75255,2
120,Mazda,1994,244,26,2259,1588.46,P99235,1
121,Infiniti,2012,102,25,,2051,P79306,2
122,Maserati,2010,96,39,,1018.57,P07789,1
123,Ford,1991,278,20,,1296.3,P10147,1
124,Mazda,1998,119,26,,1522.62,P16152,1
125,Dodge,2008,305,23,684058,1966.31,P32128,2
126,Honda,2012,227,99,,1185.9,P97463,1
127,Mitsubishi,2009,198,32,,1802.36,P10624,1
128,Acura,2003,242,25,H3R,1167.07,P14331,2
129,Ford,1993,446,16,,659.9,P38233,2
130,GMC,2012,487,17,,1464.53,P91612,2
131,Toyota,1993,363,93,60028,1562.84,P04482,2
132,Mercedes-Benz,2007,365,29,,1745.07,P53155,2
133,Chrysler,1992,229,32,,116.59,P61109,2
134,Suzuki,2009,177,40,,1914.35,P62718,1
135,Dodge,1999,109,44,,1571.3,P81799,1
136,Mazda,1988,294,30,,1522.31,P86201,1
137,Saab,1998,422,85,675 01,,P03606,
138,Nissan,2007,204,40,,1545.06,P66240,1
139,Volvo,2013,159,48,,510.7,P12813,1
140,Nissan,1996,462,92,,2203.28,P84964,1
141,Mercury,1997,199,83,94675 CEDEX,609.57,P02678,1
142,Volkswagen,2009,186,88,,813.61,P31184,1
143,Alfa Romeo,1993,59,23,9200,1934.36,P71933,2
144,Buick,2007,154,84,5914,,P76260,
145,Lexus,2005,142,32,,2020.51,P42075,1
146,Mazda,1996,274,68,,2247.19,P92586,1
147,Mazda,2002,250,41,5531,1831.41,P90889,1
148,Ford,1998,280,76,160555,2472.07,P55809,2
149,Chevrolet,1993,442,67,13548 CEDEX,1146.27,P99599,1
150,BMW,2001,227,75,,604.7,P30977,2
151,GMC,1998,149,59,,1912.82,P26415,2
152,Toyota,2013,257,39,,488.52,P85477,2
153,Mercedes-Benz,2009,386,74,19001,220.8,P03221,2
154,Plymouth,1999,464,25,,1931.36,P42127,2
155,Infiniti,2007,275,83,,1457.45,P84873,1
156,Chevrolet,2012,70,72,,1496.42,P36165,1
157,Subaru,1998,421,83,94409 CEDEX,112.99,P86260,1
158,Acura,2010,82,36,T9J,519.43,P94442,2
159,BMW,2005,163,74,,298.8,P91430,2
160,Buick,1989,357,20,,2087.14,P64250,1
161,Plymouth,1993,326,61,,1628.75,P38149,2
162,BMW,2007,368,48,790 01,2268.43,P74271,2
163,Mazda,1995,452,37,,125.9,P73107,2
164,Volvo,2000,138,38,,1742.2,P30006,2
165,Chevrolet,1996,162,72,10260,1009.57,P50194,2
166,Volvo,2008,60,42,,1986.44,P61933,2
167,Saab,1992,223,31,4410,1694.07,P27732,1
168,Pontiac,1986,239,40,664 84,2458.42,P23908,1
169,Toyota,2010,258,78,,1392.15,P58197,1
170,Toyota,1976,248,26,58865-000,2188.7,P37016,2
171,Chevrolet,2008,424,82,36005,948.25,P06146,1
172,Aston Martin,2010,496,84,,660.06,P26640,1
173,Mercedes-Benz,1989,299,52,,1712.28,P33452,1
174,Lamborghini,2008,358,29,439 42,2050.28,P46255,2
175,Volvo,2000,134,75,,1905.01,P57521,1
176,Mercury,1991,450,76,99599,2381.4,P57123,1
177,Chevrolet,1995,53,26,,1776.03,P30178,1
178,Chevrolet,1992,116,42,377-0816,2366.47,P02801,1
179,Audi,2003,412,18,976-0022,299.97,P72426,2
180,Oldsmobile,1995,478,72,84304 CEDEX,2214.75,P78978,2
181,Mercedes-Benz,1991,331,53,407 47,1687.79,P02388,2
182,Dodge,2005,381,26,32-125,282.35,P68806,1
183,Nissan,2009,273,91,2900-005,1914.53,P27013,1
184,Lincoln,1991,197,76,,,P89370,
